Nama Petshop,Alamat,No WA,Mitra,Kota,Google Maps Link,Latitude,Longitude,Distributor,Kurir
Istana Petshop Sukoharjo Jawa Tengah,Sukoharjo,6287885737993,Tidak,Sukoharjo,https://www.google.com/maps/search/?api=1&query=Istana%20Petshop%20Sukoharjo%20Jawa%20Tengah%20Sukoharjo,-7.6833,110.8333,Pusat,
Ivani Pet Care Sragen Jateng,Sragen,622718823195,Tidak,Sragen,https://www.google.com/maps/search/?api=1&query=Ivani%20Pet%20Care%20Sragen%20Jateng%20Sragen,-7.4267,111.02,Pusat,
Ivetshop Petshop Surabaya,Surabaya,6281391625135,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Ivetshop%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Jaf Vet Clinic & Petshop Palembang,Palembang,6282182463388,Tidak,Palembang,https://www.google.com/maps/search/?api=1&query=Jaf%20Vet%20Clinic%20%26%20Petshop%20Palembang%20Palembang,-2.9908,104.7567,Pusat,
Jakarta Petshop And Clinic,Jakarta,628222786509,Tidak,Jakarta,https://www.google.com/maps/search/?api=1&query=Jakarta%20Petshop%20And%20Clinic%20Jakarta,-6.2088,106.8456,Pusat,
Jambi Petshop,Jambi,6285273137715,Tidak,Jambi,https://www.google.com/maps/search/?api=1&query=Jambi%20Petshop%20Jambi,-1.61,103.61,Pusat,
Jangki Petshop Depok Jawabarat,Depok,6282181709121,Tidak,Depok,https://www.google.com/maps/search/?api=1&query=Jangki%20Petshop%20Depok%20Jawabarat%20Depok,-6.4025,106.7942,Pusat,
Jangki Petshop Margacinta Buahbatu Bandung,Bandung,628112341176,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=Jangki%20Petshop%20Margacinta%20Buahbatu%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
Janson's Petshop & Care Lampung Tengah,Lampung,628984141856,Tidak,Lampung,https://www.google.com/maps/search/?api=1&query=Janson's%20Petshop%20%26%20Care%20Lampung%20Tengah%20Lampung,-5.3972,105.2667,Pusat,
Java Petshop Sleman,Sleman,6281326988006,Tidak,Sleman,https://www.google.com/maps/search/?api=1&query=Java%20Petshop%20Sleman%20Sleman,-7.7214,110.3644,Pusat,
Java Petshop Tulungagung Jatim,Tulungagung,6285895126282,Tidak,Tulungagung,https://www.google.com/maps/search/?api=1&query=Java%20Petshop%20Tulungagung%20Jatim%20Tulungagung,-8.0667,111.9,Pusat,
Javavet Petshop Lumajang,Lumajang,6281233913170,Tidak,Lumajang,https://www.google.com/maps/search/?api=1&query=Javavet%20Petshop%20Lumajang%20Lumajang,-8.1333,113.22,Pusat,
Jaya 77 Petshop Timika Papua,Timika,6285333997777,Tidak,Timika,https://www.google.com/maps/search/?api=1&query=Jaya%2077%20Petshop%20Timika%20Papua%20Timika,,,Pusat,
Jaya Petshop Pinang Sumatera Utara,Sumatera,6281262289381,Tidak,Sumatera,https://www.google.com/maps/search/?api=1&query=Jaya%20Petshop%20Pinang%20Sumatera%20Utara%20Sumatera,,,Pusat,
JB Petshop Depok,Depok,628998502251,Tidak,Depok,https://www.google.com/maps/search/?api=1&query=JB%20Petshop%20Depok%20Depok,-6.4025,106.7942,Pusat,
JCO JCI Petshop And Vet Umbulharjo DIY,Umbulharjo,6283869445566,Tidak,Umbulharjo,https://www.google.com/maps/search/?api=1&query=JCO%20JCI%20Petshop%20And%20Vet%20Umbulharjo%20DIY%20Umbulharjo,,,Pusat,
JCO Petshop Tasikmalaya,Tasikmalaya,6281222000295,Tidak,Tasikmalaya,https://www.google.com/maps/search/?api=1&query=JCO%20Petshop%20Tasikmalaya%20Tasikmalaya,-7.3274,108.2207,Pusat,
Jember Petshop,Jember,6281232666988,Tidak,Jember,https://www.google.com/maps/search/?api=1&query=Jember%20Petshop%20Jember,-8.1724,113.6983,Pusat,
Jember Petshopp,Jember,6285259996797,Tidak,Jember,https://www.google.com/maps/search/?api=1&query=Jember%20Petshopp%20Jember,-8.1724,113.6983,Pusat,
Jensen Petshop Sukabumi,Sukabumi,6281224139192,Tidak,Sukabumi,https://www.google.com/maps/search/?api=1&query=Jensen%20Petshop%20Sukabumi%20Sukabumi,-6.9244,106.9261,Pusat,
Jepara Petshop,Jepara,6285777735788,Tidak,Jepara,https://www.google.com/maps/search/?api=1&query=Jepara%20Petshop%20Jepara,,,Pusat,
Jill's Petshop Sunter Jakarta Utara,Jakarta Utara,6281290903919,Tidak,Jakarta Utara,https://www.google.com/maps/search/?api=1&query=Jill's%20Petshop%20Sunter%20Jakarta%20Utara%20Jakarta%20Utara,-6.121435,106.885681,Pusat,
Jills Petshop Jakarta Utara,Jakarta Utara,6281524560752,Tidak,Jakarta Utara,https://www.google.com/maps/search/?api=1&query=Jills%20Petshop%20Jakarta%20Utara%20Jakarta%20Utara,-6.121435,106.885681,Pusat,
Jilow Petshop 1 Surabaya,Surabaya,6285645044363,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Jilow%20Petshop%201%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Jim And Vet Petshop Palembang,Palembang,6285267775787,Tidak,Palembang,https://www.google.com/maps/search/?api=1&query=Jim%20And%20Vet%20Petshop%20Palembang%20Palembang,-2.9908,104.7567,Pusat,
JJ Pethouse Tabanan Bali,Tabanan,6281139606565,Tidak,Tabanan,https://www.google.com/maps/search/?api=1&query=JJ%20Pethouse%20Tabanan%20Bali%20Tabanan,-8.45,115.1333,Pusat,
JJ Petshop Bogor,Bogor,6289517627664,Tidak,Bogor,https://www.google.com/maps/search/?api=1&query=JJ%20Petshop%20Bogor%20Bogor,-6.5971,106.806,Pusat,
JJ Petshop Grooming Pet Hotel Sukabumi,Sukabumi,6281315446377,Tidak,Sukabumi,https://www.google.com/maps/search/?api=1&query=JJ%20Petshop%20Grooming%20Pet%20Hotel%20Sukabumi%20Sukabumi,-6.9244,106.9261,Pusat,
JJ Petshop Jogja 2,Yogyakarta,6281328247939,Tidak,Yogyakarta,https://www.google.com/maps/search/?api=1&query=JJ%20Petshop%20Jogja%202%20Yogyakarta,,,Pusat,
JJ Petshop Jogja DIY,Yogyakarta,6281328059009,Tidak,Yogyakarta,https://www.google.com/maps/search/?api=1&query=JJ%20Petshop%20Jogja%20DIY%20Yogyakarta,,,Pusat,
JJ Petshop Tebing Tinggi Sumtra Utara,Sumtra,6282370871111,Tidak,Sumtra,https://www.google.com/maps/search/?api=1&query=JJ%20Petshop%20Tebing%20Tinggi%20Sumtra%20Utara%20Sumtra,,,Pusat,
JJS Petshop Bandung,Bandung,628112317117,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=JJS%20Petshop%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
JK Petshop Kutai Kertanegara Kaltim,Kertanegara,6281347000020,Tidak,Kertanegara,https://www.google.com/maps/search/?api=1&query=JK%20Petshop%20Kutai%20Kertanegara%20Kaltim%20Kertanegara,,,Pusat,
Joe Petshop Gajah Mada Plaza Jakarta Pusat,Jakarta Pusat,628179112345,Tidak,Jakarta Pusat,https://www.google.com/maps/search/?api=1&query=Joe%20Petshop%20Gajah%20Mada%20Plaza%20Jakarta%20Pusat%20Jakarta%20Pusat,-6.186481,106.834091,Pusat,
Joe Petshop Jakpus,Jakarta Pusat,628111286876,Tidak,Jakarta Pusat,https://www.google.com/maps/search/?api=1&query=Joe%20Petshop%20Jakpus%20Jakarta%20Pusat,-6.186481,106.834091,Pusat,
Jogja Petshop,Yogyakarta,6281231863989,Tidak,Yogyakarta,https://www.google.com/maps/search/?api=1&query=Jogja%20Petshop%20Yogyakarta,,,Pusat,
Jose Vet Clinic Balikpapan,Balikpapan,6281218217180,Tidak,Balikpapan,https://www.google.com/maps/search/?api=1&query=Jose%20Vet%20Clinic%20Balikpapan%20Balikpapan,-1.265,116.83,Pusat,
JP Petshop Depok,Depok,62895411597512,Tidak,Depok,https://www.google.com/maps/search/?api=1&query=JP%20Petshop%20Depok%20Depok,-6.4025,106.7942,Pusat,
JR Petshop Tulungagung,Tulungagung,6285645849808,Tidak,Tulungagung,https://www.google.com/maps/search/?api=1&query=JR%20Petshop%20Tulungagung%20Tulungagung,-8.0667,111.9,Pusat,
Juanda Petshop Depok K,Depok,6289644165862,Tidak,Depok,https://www.google.com/maps/search/?api=1&query=Juanda%20Petshop%20Depok%20K%20Depok,-6.4025,106.7942,Pusat,
Jumma Petshop Indramayu Jawa Barat,Indramayu,628174994733,Tidak,Indramayu,https://www.google.com/maps/search/?api=1&query=Jumma%20Petshop%20Indramayu%20Jawa%20Barat%20Indramayu,,,Pusat,
Juragan Petshop Bogor,Bogor,6281282393204,Tidak,Bogor,https://www.google.com/maps/search/?api=1&query=Juragan%20Petshop%20Bogor%20Bogor,-6.5971,106.806,Pusat,
Juragan Petshop Kendari Sulteng,Kendari,6282241737915,Tidak,Kendari,https://www.google.com/maps/search/?api=1&query=Juragan%20Petshop%20Kendari%20Sulteng%20Kendari,-3.9722,122.5144,Pusat,
JY Petshop Kendari,Kendari,6285238836304,Tidak,Kendari,https://www.google.com/maps/search/?api=1&query=JY%20Petshop%20Kendari%20Kendari,-3.9722,122.5144,Pusat,
K&V Petshop Banyuwangi,Banyuwangi,6287712621666,Tidak,Banyuwangi,https://www.google.com/maps/search/?api=1&query=K%26V%20Petshop%20Banyuwangi%20Banyuwangi,-8.2174,114.3678,Pusat,
Kado Petshop Karawang,Karawang,6281215273813,Tidak,Karawang,https://www.google.com/maps/search/?api=1&query=Kado%20Petshop%20Karawang%20Karawang,-6.3,107.3,Pusat,
Kage Petshop 2 Surabaya,Surabaya,62811343151,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Kage%20Petshop%202%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Kahavet Petshop Dan Petcare Magetan,Magetan,6281221592020,Tidak,Magetan,https://www.google.com/maps/search/?api=1&query=Kahavet%20Petshop%20Dan%20Petcare%20Magetan%20Magetan,-7.65,111.3333,Pusat,
Kak Anis Koordinator Terobos Petshop,Terobos,6283183789711,Tidak,Terobos,https://www.google.com/maps/search/?api=1&query=Kak%20Anis%20Koordinator%20Terobos%20Petshop%20Terobos,,,Pusat,
Kak Edho Admin Aulia Petshop,Aulia,6285799259305,Tidak,Aulia,https://www.google.com/maps/search/?api=1&query=Kak%20Edho%20Admin%20Aulia%20Petshop%20Aulia,,,Pusat,
Kak Effrizal Ikonyoa Petshop Jambi,Jambi,6285260320004,Tidak,Jambi,https://www.google.com/maps/search/?api=1&query=Kak%20Effrizal%20Ikonyoa%20Petshop%20Jambi%20Jambi,-1.61,103.61,Pusat,
Kak Ros Petshop Jogja,Yogyakarta,6282136629535,Tidak,Yogyakarta,https://www.google.com/maps/search/?api=1&query=Kak%20Ros%20Petshop%20Jogja%20Yogyakarta,,,Pusat,
Kak Siswanto Aero Petshop Solo,Surakarta,6283876791551,Tidak,Surakarta,https://www.google.com/maps/search/?api=1&query=Kak%20Siswanto%20Aero%20Petshop%20Solo%20Surakarta,-7.5667,110.8167,Pusat,
Kali Putih Petshop Banyuwangi,Banyuwangi,6285175066837,Tidak,Banyuwangi,https://www.google.com/maps/search/?api=1&query=Kali%20Putih%20Petshop%20Banyuwangi%20Banyuwangi,-8.2174,114.3678,Pusat,
Kaliko Petshop Madiun,Madiun,6281259079099,Tidak,Madiun,https://www.google.com/maps/search/?api=1&query=Kaliko%20Petshop%20Madiun%20Madiun,-7.6298,111.5243,Pusat,
Kamaru Petshop,Kamaru,6287793008883,Tidak,Kamaru,https://www.google.com/maps/search/?api=1&query=Kamaru%20Petshop%20Kamaru,,,Pusat,
Kapron Klinik & Petshop,&,6285269574412,Tidak,&,https://www.google.com/maps/search/?api=1&query=Kapron%20Klinik%20%26%20Petshop%20%26,,,Pusat,
Karadenan VetCare Clinic Bogor,Bogor,6281584255439,Tidak,Bogor,https://www.google.com/maps/search/?api=1&query=Karadenan%20VetCare%20Clinic%20Bogor%20Bogor,-6.5971,106.806,Pusat,
KD Petshop Lombok,Lombok,6281237344894,Tidak,Lombok,https://www.google.com/maps/search/?api=1&query=KD%20Petshop%20Lombok%20Lombok,,,Pusat,
Keke Petshop & Petcare Bantul,Bantul,6281325494400,Tidak,Bantul,https://www.google.com/maps/search/?api=1&query=Keke%20Petshop%20%26%20Petcare%20Bantul%20Bantul,-7.8875,110.3278,Pusat,
Keke Petshop Bantul,Bantul,62811256224,Tidak,Bantul,https://www.google.com/maps/search/?api=1&query=Keke%20Petshop%20Bantul%20Bantul,-7.8875,110.3278,Pusat,
Kenzo Pet Shop Sukoharjo Jateng,Sukoharjo,628884186028,Tidak,Sukoharjo,https://www.google.com/maps/search/?api=1&query=Kenzo%20Pet%20Shop%20Sukoharjo%20Jateng%20Sukoharjo,-7.6833,110.8333,Pusat,
Ketty Petshop Jember,Jember,6282332755284,Tidak,Jember,https://www.google.com/maps/search/?api=1&query=Ketty%20Petshop%20Jember%20Jember,-8.1724,113.6983,Pusat,
Kevin Joshua Supplier Petshop,Supplier,6281331312378,Tidak,Supplier,https://www.google.com/maps/search/?api=1&query=Kevin%20Joshua%20Supplier%20Petshop%20Supplier,,,Pusat,
Keysha Petshop Rembang,Rembang,6285747700111,Tidak,Rembang,https://www.google.com/maps/search/?api=1&query=Keysha%20Petshop%20Rembang%20Rembang,-6.7,111.35,Pusat,
Khollik Petshop Bandung,Bandung,6282128810425,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=Khollik%20Petshop%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
Kidcat Cat Petshop Jogja DIY,Yogyakarta,622747147124,Tidak,Yogyakarta,https://www.google.com/maps/search/?api=1&query=Kidcat%20Cat%20Petshop%20Jogja%20DIY%20Yogyakarta,,,Pusat,
Kiko Petshop Tulungagung Jatim,Tulungagung,6285733170296,Tidak,Tulungagung,https://www.google.com/maps/search/?api=1&query=Kiko%20Petshop%20Tulungagung%20Jatim%20Tulungagung,-8.0667,111.9,Pusat,
Kimara Petshop & Vet Jakarta Selatan,Jakarta Selatan,6281384280779,Tidak,Jakarta Selatan,https://www.google.com/maps/search/?api=1&query=Kimara%20Petshop%20%26%20Vet%20Jakarta%20Selatan%20Jakarta%20Selatan,-6.261493,106.8106,Pusat,
King 6 Petshop Tangerang,Tangerang,6283875283215,Tidak,Tangerang,https://www.google.com/maps/search/?api=1&query=King%206%20Petshop%20Tangerang%20Tangerang,-6.1783,106.6319,Pusat,
King Akbar Petshop Gresik,Gresik,6281330765077,Tidak,Gresik,https://www.google.com/maps/search/?api=1&query=King%20Akbar%20Petshop%20Gresik%20Gresik,-7.1592,112.6569,Pusat,
King Petshop Laweyan Surakarta Jawa Tengah,Surakarta,6281277775577,Tidak,Surakarta,https://www.google.com/maps/search/?api=1&query=King%20Petshop%20Laweyan%20Surakarta%20Jawa%20Tengah%20Surakarta,-7.5667,110.8167,Pusat,
King Petshop Makassar,Macassar,628174165566,Tidak,Macassar,https://www.google.com/maps/search/?api=1&query=King%20Petshop%20Makassar%20Macassar,-5.1478,119.4328,Pusat,
King Petshop Palopo Sulsel,Palopo,6282111088605,Tidak,Palopo,https://www.google.com/maps/search/?api=1&query=King%20Petshop%20Palopo%20Sulsel%20Palopo,-2.9903,120.1908,Pusat,
King Petshop Salatiga Jateng,Salatiga,6283842773657,Tidak,Salatiga,https://www.google.com/maps/search/?api=1&query=King%20Petshop%20Salatiga%20Jateng%20Salatiga,-7.33,110.5,Pusat,
King's Petshop Singaraja Buleleng Bali,Buleleng,6281953178579,Tidak,Buleleng,https://www.google.com/maps/search/?api=1&query=King's%20Petshop%20Singaraja%20Buleleng%20Bali%20Buleleng,-8.25,114.9667,Pusat,
Kings Petshop Buleleng Bali,Buleleng,6282146461976,Tidak,Buleleng,https://www.google.com/maps/search/?api=1&query=Kings%20Petshop%20Buleleng%20Bali%20Buleleng,-8.25,114.9667,Pusat,
Kinkin Petshop Tulungagung,Tulungagung,6281559546671,Tidak,Tulungagung,https://www.google.com/maps/search/?api=1&query=Kinkin%20Petshop%20Tulungagung%20Tulungagung,-8.0667,111.9,Pusat,
Kiply Petshop Gresik,Gresik,6283857006557,Tidak,Gresik,https://www.google.com/maps/search/?api=1&query=Kiply%20Petshop%20Gresik%20Gresik,-7.1592,112.6569,Pusat,
Kiply Petshop Surabaya,Surabaya,6285850793911,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Kiply%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Kirana Vet Medica Bandung,Bandung,6287853169306,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=Kirana%20Vet%20Medica%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
Kirana Vet Medika Bandung,Bandung,628112100440,Tidak,Bandung,https://www.google.com/maps/search/?api=1&query=Kirana%20Vet%20Medika%20Bandung%20Bandung,-6.9175,107.6191,Pusat,
Kit Kat Petshop & Petcare Sleman,Sleman,6285649011251,Tidak,Sleman,https://www.google.com/maps/search/?api=1&query=Kit%20Kat%20Petshop%20%26%20Petcare%20Sleman%20Sleman,-7.7214,110.3644,Pusat,
Kitten Petshop Jakarta Pusat,Jakarta Pusat,6281211082265,Tidak,Jakarta Pusat,https://www.google.com/maps/search/?api=1&query=Kitten%20Petshop%20Jakarta%20Pusat%20Jakarta%20Pusat,-6.186481,106.834091,Pusat,
Kitty Care Petshop & Klinik Bekasi,Bekasi,6285692529623,Tidak,Bekasi,https://www.google.com/maps/search/?api=1&query=Kitty%20Care%20Petshop%20%26%20Klinik%20Bekasi%20Bekasi,-6.2383,106.9756,Pusat,
Kitty House Petshop Mataram,Mataram,62811391122,Tidak,Mataram,https://www.google.com/maps/search/?api=1&query=Kitty%20House%20Petshop%20Mataram%20Mataram,-8.5833,116.1167,Pusat,
Kitty Petshop & Care Pekalongan,Pekalongan,6285156792313,Tidak,Pekalongan,https://www.google.com/maps/search/?api=1&query=Kitty%20Petshop%20%26%20Care%20Pekalongan%20Pekalongan,-6.8886,109.6753,Pusat,
Kitty Petshop N Care Boyolali,Boyolali,6281215154448,Tidak,Boyolali,https://www.google.com/maps/search/?api=1&query=Kitty%20Petshop%20N%20Care%20Boyolali%20Boyolali,-7.5333,110.6,Pusat,
Kiyowo Petshop Sekardangan Sidoarjo,Sidoarjo,6281554859295,Tidak,Sidoarjo,https://www.google.com/maps/search/?api=1&query=Kiyowo%20Petshop%20Sekardangan%20Sidoarjo%20Sidoarjo,-7.4478,112.7183,Pusat,
Klaten Petshop,Klaten,6287828888778,Tidak,Klaten,https://www.google.com/maps/search/?api=1&query=Klaten%20Petshop%20Klaten,-7.7028,110.6031,Pusat,
Klinik & Petshop Emak Kucing Bogor,Bogor,6282167346998,Tidak,Bogor,https://www.google.com/maps/search/?api=1&query=Klinik%20%26%20Petshop%20Emak%20Kucing%20Bogor%20Bogor,-6.5971,106.806,Pusat,
Klinik Dan Petshop King Tegal,Tegal,6282138290445,Tidak,Tegal,https://www.google.com/maps/search/?api=1&query=Klinik%20Dan%20Petshop%20King%20Tegal%20Tegal,-6.8667,109.1333,Pusat,
Klinik Dan Petshop King Tegal 1,Tegal,6282326234655,Tidak,Tegal,https://www.google.com/maps/search/?api=1&query=Klinik%20Dan%20Petshop%20King%20Tegal%201%20Tegal,-6.8667,109.1333,Pusat,
Klinik Drh. Arnie Ilmawati Mammy Petshop Surabaya,Surabaya,6281913201075,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Klinik%20Drh.%20Arnie%20Ilmawati%20Mammy%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Klinik Hewan Dan Petshop Habitat Satwa Surabaya,Surabaya,6281939206475,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Klinik%20Hewan%20Dan%20Petshop%20Habitat%20Satwa%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Klinik Hewan Garuda & Petshop,&,6282233192718,Tidak,&,https://www.google.com/maps/search/?api=1&query=Klinik%20Hewan%20Garuda%20%26%20Petshop%20%26,,,Pusat,
Klinik Hewan Indovetcare Bogor,Bogor,6285371830708,Tidak,Bogor,https://www.google.com/maps/search/?api=1&query=Klinik%20Hewan%20Indovetcare%20Bogor%20Bogor,-6.5971,106.806,Pusat,
Klinik Hewan Raja Petshop Surabya,Surabya,6282182498945,Tidak,Surabya,https://www.google.com/maps/search/?api=1&query=Klinik%20Hewan%20Raja%20Petshop%20Surabya%20Surabya,,,Pusat,
KM Petshop Sumedang,Sumedang,6281221215515,Tidak,Sumedang,https://www.google.com/maps/search/?api=1&query=KM%20Petshop%20Sumedang%20Sumedang,-6.85,107.9167,Pusat,
KMS Petshop. Solo Jebres Jateng,Surakarta,628884105945,Tidak,Surakarta,https://www.google.com/maps/search/?api=1&query=KMS%20Petshop.%20Solo%20Jebres%20Jateng%20Surakarta,-7.5667,110.8167,Pusat,
Ko Fiedrick Amigos Petshop Makassar,Macassar,6282120009669,Tidak,Macassar,https://www.google.com/maps/search/?api=1&query=Ko%20Fiedrick%20Amigos%20Petshop%20Makassar%20Macassar,-5.1478,119.4328,Pusat,
Koinami Petshop Tasikmalaya,Tasikmalaya,6281321538590,Tidak,Tasikmalaya,https://www.google.com/maps/search/?api=1&query=Koinami%20Petshop%20Tasikmalaya%20Tasikmalaya,-7.3274,108.2207,Pusat,
Koinami Petshop Tasikmalaya 1,Tasikmalaya,6282262313399,Tidak,Tasikmalaya,https://www.google.com/maps/search/?api=1&query=Koinami%20Petshop%20Tasikmalaya%201%20Tasikmalaya,-7.3274,108.2207,Pusat,
Kolaka Petshop Sulteng,Kolaka,6281336119496,Tidak,Kolaka,https://www.google.com/maps/search/?api=1&query=Kolaka%20Petshop%20Sulteng%20Kolaka,,,Pusat,
Koneko Pet Care Madiun,Madiun,6289523195339,Tidak,Madiun,https://www.google.com/maps/search/?api=1&query=Koneko%20Pet%20Care%20Madiun%20Madiun,-7.6298,111.5243,Pusat,
Koycats Petshop N Grooming Sleman Diy,Sleman,6289623088828,Tidak,Sleman,https://www.google.com/maps/search/?api=1&query=Koycats%20Petshop%20N%20Grooming%20Sleman%20Diy%20Sleman,-7.7214,110.3644,Pusat,
Kucing Mania Petshop Solo Jateng,Surakarta,628812990210,Tidak,Surakarta,https://www.google.com/maps/search/?api=1&query=Kucing%20Mania%20Petshop%20Solo%20Jateng%20Surakarta,-7.5667,110.8167,Pusat,
Kucing Oren Petshop Tebet Jakarta Selatan,Jakarta Selatan,6281398693861,Tidak,Jakarta Selatan,https://www.google.com/maps/search/?api=1&query=Kucing%20Oren%20Petshop%20Tebet%20Jakarta%20Selatan%20Jakarta%20Selatan,-6.261493,106.8106,Pusat,
Kumala Petshop Bojonegoro,Bojonegoro,6281247997488,Tidak,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Kumala%20Petshop%20Bojonegoro%20Bojonegoro,-7.15,111.8833,Pusat,
Kumara Petshop Gresik,Gresik,6285731933771,Tidak,Gresik,https://www.google.com/maps/search/?api=1&query=Kumara%20Petshop%20Gresik%20Gresik,-7.1592,112.6569,Pusat,
Kumis Petshop And Animal Care Sidoarjo,Sidoarjo,6287739892993,Tidak,Sidoarjo,https://www.google.com/maps/search/?api=1&query=Kumis%20Petshop%20And%20Animal%20Care%20Sidoarjo%20Sidoarjo,-7.4478,112.7183,Pusat,
Kumis Petshop N Clinic Sidoarjo,Sidoarjo,6285934565076,Tidak,Sidoarjo,https://www.google.com/maps/search/?api=1&query=Kumis%20Petshop%20N%20Clinic%20Sidoarjo%20Sidoarjo,-7.4478,112.7183,Pusat,
Ky Petshop Pekalongan,Pekalongan,6289618103111,Tidak,Pekalongan,https://www.google.com/maps/search/?api=1&query=Ky%20Petshop%20Pekalongan%20Pekalongan,-6.8886,109.6753,Pusat,
Kyubi Petshop Owner Trenggalek,Trenggalek,6281326820181,Tidak,Trenggalek,https://www.google.com/maps/search/?api=1&query=Kyubi%20Petshop%20Owner%20Trenggalek%20Trenggalek,-8.05,111.7,Pusat,
Kyubi Petshop Trenggalek Jatim,Trenggalek,6281226945992,Tidak,Trenggalek,https://www.google.com/maps/search/?api=1&query=Kyubi%20Petshop%20Trenggalek%20Jatim%20Trenggalek,-8.05,111.7,Pusat,
La Nostra Petshop Sidoarjo,Sidoarjo,6288230964978,Tidak,Sidoarjo,https://www.google.com/maps/search/?api=1&query=La%20Nostra%20Petshop%20Sidoarjo%20Sidoarjo,-7.4478,112.7183,Pusat,
La Petshop Baubau,Baubau,6282195407256,Tidak,Baubau,https://www.google.com/maps/search/?api=1&query=La%20Petshop%20Baubau%20Baubau,-5.4667,122.6,Pusat,
Labarong Petshop Jogja DIY,Yogyakarta,6281578779777,Tidak,Yogyakarta,https://www.google.com/maps/search/?api=1&query=Labarong%20Petshop%20Jogja%20DIY%20Yogyakarta,,,Pusat,
Lala Tris Petshop Karawang Jawa Barat,Karawang,6287881361030,Tidak,Karawang,https://www.google.com/maps/search/?api=1&query=Lala%20Tris%20Petshop%20Karawang%20Jawa%20Barat%20Karawang,-6.3,107.3,Pusat,
Lambung Petshop Samarinda Kaltim,Samarinda,6282154595159,Tidak,Samarinda,https://www.google.com/maps/search/?api=1&query=Lambung%20Petshop%20Samarinda%20Kaltim%20Samarinda,-0.5022,117.1536,Pusat,
Lancar Jaya Petshop,Jaya,6281231163458,Tidak,Jaya,https://www.google.com/maps/search/?api=1&query=Lancar%20Jaya%20Petshop%20Jaya,,,Pusat,
Lancar Jaya Petshop Surabaya,Surabaya,6281703741155,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Lancar%20Jaya%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Laras Satwa Petshop Jogja DIY,Yogyakarta,622747114869,Tidak,Yogyakarta,https://www.google.com/maps/search/?api=1&query=Laras%20Satwa%20Petshop%20Jogja%20DIY%20Yogyakarta,,,Pusat,
Lav Petshop Surabaya,Surabaya,6287854355633,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Lav%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Lena Cinandy Happy Petshop Tulungagung Jatim,Tulungagung,6285745939954,Tidak,Tulungagung,https://www.google.com/maps/search/?api=1&query=Lena%20Cinandy%20Happy%20Petshop%20Tulungagung%20Jatim%20Tulungagung,-8.0667,111.9,Pusat,
Leny Paw Cat Petshop Bogor,Bogor,6281294949066,Tidak,Bogor,https://www.google.com/maps/search/?api=1&query=Leny%20Paw%20Cat%20Petshop%20Bogor%20Bogor,-6.5971,106.806,Pusat,
Lian Petshop Makassar Sulsel,Macassar,6282192034900,Tidak,Macassar,https://www.google.com/maps/search/?api=1&query=Lian%20Petshop%20Makassar%20Sulsel%20Macassar,-5.1478,119.4328,Pusat,
Lintang Petshop & Aquarium Kuningan,Aquarium,6285224379607,Tidak,Aquarium,https://www.google.com/maps/search/?api=1&query=Lintang%20Petshop%20%26%20Aquarium%20Kuningan%20Aquarium,,,Pusat,
Lion Animal Care Gresik,Gresik,6282140259886,Tidak,Gresik,https://www.google.com/maps/search/?api=1&query=Lion%20Animal%20Care%20Gresik%20Gresik,-7.1592,112.6569,Pusat,
Little Paw Vet Clinic Surabaya,Surabaya,6285791234570,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Little%20Paw%20Vet%20Clinic%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Liz CAT Shop Petshop Trenggalek Jatim,Trenggalek,6285655533331,Tidak,Trenggalek,https://www.google.com/maps/search/?api=1&query=Liz%20CAT%20Shop%20Petshop%20Trenggalek%20Jatim%20Trenggalek,-8.05,111.7,Pusat,
