Nama Petshop,Alamat,No WA,Mitra,Kota,Google Maps Link,Latitude,Longitude,Distributor,Kurir
Dodi Petshop Jaten,Jl. Raya Solo - Tawangmangu (Depan Ary Farma Jaten),628123456789023,Ya,Karanganyar,https://www.google.com/maps/search/?api=1&query=Dodi%20Petshop%20Jaten%20Karanganyar,-7.63,110.95,Pusat,
Kawatan Petshop & Klinik,Jl. Muh Yamin 95 Kratonan,62271645454,Ya,Surakarta,https://www.google.com/maps/search/?api=1&query=Kawatan%20Petshop%20%26%20Klinik%20Surakarta,-7.5667,110.8167,Pusat,
Happypets Petshop & Klinik,Jl. Raya Grogol 74 Grogol - Sukoharjo,628123456789025,Ya,Sukoharjo,https://www.google.com/maps/search/?api=1&query=Happypets%20Petshop%20%26%20Klinik%20Sukoharjo,-7.6833,110.8333,Pusat,
R2 Petshop,Tawangsari - Sukoharjo,628123456789026,Ya,Sukoharjo,https://www.google.com/maps/search/?api=1&query=R2%20Petshop%20Sukoharjo,-7.6833,110.8333,Pusat,
Herstel Sozo Petshop & Klinik,"Jl. Aru no 28A Pantisari - Kepatihan, Jebres, Solo",6281575381753,Ya,Surakarta,https://www.google.com/maps/search/?api=1&query=Herstel%20Sozo%20Petshop%20%26%20Klinik%20Surakarta,-7.5667,110.8167,Pusat,
Nemo Petshop,Jl. RM Said no 127 Punggawan - Solo,628123456789028,Ya,Surakarta,https://www.google.com/maps/search/?api=1&query=Nemo%20Petshop%20Surakarta,-7.5667,110.8167,Pusat,
Yuca Petshop,"Jl. Nusama, Dalon, Ngringo",6281226091807,Ya,Karanganyar,https://www.google.com/maps/search/?api=1&query=Yuca%20Petshop%20Karanganyar,-7.63,110.95,Pusat,
Gukgukmeong,"Jl. Kampung Baris 505, Karangturi, Kec. Semarang Timur",628123456789030,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Gukgukmeong%20Semarang,-6.9667,110.4167,Pusat,
Arga Petshop,"Komplek Ruko ANDA, Jl. Tlaga Asmara no.1b",628123456789031,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Arga%20Petshop%20Semarang,-6.9667,110.4167,Pusat,
Kharisma Petshop,"Jl. Parang Baris Raya 14, Tlogosari Kulon, Kec. Pedurungan",6283838826543,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Kharisma%20Petshop%20Semarang,-6.9667,110.4167,Pusat,
Kharisma Petshop Pasbur,"Jl. Purwosari Raya, Rejosari, Semarang Timur",628123456789032,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Kharisma%20Petshop%20Pasbur%20Semarang,-6.9667,110.4167,Pusat,
Bingo Petshop,"Jl. Raya Ngaliyan Raya No.10a, Purwoyoso, Kec. Ngaliyan",6282225462008,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Bingo%20Petshop%20Semarang,-6.9667,110.4167,Pusat,
Mocca Shop,"JI. Parang Kembang X no. 22, Tlogosari, Semarang",6281236988341,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Mocca%20Shop%20Semarang,-6.9667,110.4167,Pusat,
Mochi Petshop,"Jl. Menoreh Raya No.5, Sampangan, Kec. Gajahmungkur",6285161996967,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Mochi%20Petshop%20Semarang,-6.9667,110.4167,Pusat,
Mochi 2 Petshop,"Jl. Karangrejo No. 50, Srondol Wetan - Banyumanik",628123456789036,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Mochi%202%20Petshop%20Semarang,-6.9667,110.4167,Pusat,
Jolie Petshop,"Jl. Suyudono No.164, Bulustalan, Kec. Semarang Selatan",6289686768190,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Jolie%20Petshop%20Semarang,-6.9667,110.4167,Pusat,
Deva Petshop,"Jl. Jayengan No. 6, Barusari, Semarang",6281228203936,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Deva%20Petshop%20Semarang,-6.9667,110.4167,Pusat,
Boss MOP,"Jl. Malangsari V No. 6, Tlogosari Kulon, Semarang Timur",6281905222223,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=Boss%20MOP%20Semarang,-6.9667,110.4167,Pusat,
TBS Merakyat,"Jl. Brotojoyo Timur III No. 7, Semarang",6285218773884,Ya,Semarang,https://www.google.com/maps/search/?api=1&query=TBS%20Merakyat%20Semarang,-6.9667,110.4167,Pusat,
Petshop Kroya,"Dongkelan, Kroya, Kec. Kroya",628977554228,Ya,Cilacap,https://www.google.com/maps/search/?api=1&query=Petshop%20Kroya%20Cilacap,-7.7333,109.0167,Pusat,
Petshop Handi,"Jl. Sindoro Rt 4/8 Desa Patimuan, Kelurahan Patimuan",628123456789043,Ya,Cilacap,https://www.google.com/maps/search/?api=1&query=Petshop%20Handi%20Cilacap,-7.7333,109.0167,Pusat,
Bima Petshop,"Jl. Yudhasari II, Sunyaragi, Kec. Kesambi, Kota Cirebon",62895404388777,Ya,Cirebon,https://www.google.com/maps/search/?api=1&query=Bima%20Petshop%20Cirebon,-6.732,108.552,Pusat,
Detail Petshop,"Jl. DR. Cipto Mangunkusumo No.191, Pekiringan, Kesambi, Cirebon",628123456789046,Ya,Cirebon,https://www.google.com/maps/search/?api=1&query=Detail%20Petshop%20Cirebon,-6.732,108.552,Pusat,
HK Petshop,"Jl. Raya Kebarepan, Kec. Plumbon, Cirebon",628123456789047,Ya,Cirebon,https://www.google.com/maps/search/?api=1&query=HK%20Petshop%20Cirebon,-6.732,108.552,Pusat,
Griya Sato Petshop,"Jl. Raya Sumber-Cirebon, Sendang, Kec. Sumber, Cirebon",628123456789048,Ya,Cirebon,https://www.google.com/maps/search/?api=1&query=Griya%20Sato%20Petshop%20Cirebon,-6.732,108.552,Pusat,
Lefa Petshop,"Jl. Padang - Bengkulu, Bungus Sel., Kec. Bungus Tlk. Kabung",6282171994333,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Lefa%20Petshop%20Padang,-0.9478,100.4172,Pusat,
Labersa Poultry & Petshop,"Korong Gadang, Kec. Kuranji, Kota Padang",6282268252829,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Labersa%20Poultry%20%26%20Petshop%20Padang,-0.9478,100.4172,Pusat,
